tail_step,global_step,train_numeric_exact_rate,train_numeric_exact_rate_source_tail_step,train_numeric_partial_rate,train_numeric_partial_rate_source_tail_step,train_reward_score,train_reward_score_source_tail_step,train_reward_gsm8k_simple_numeric_mean,train_reward_gsm8k_simple_numeric_mean_source_tail_step,train_reward_gsm8k_simple_format_mean,train_reward_gsm8k_simple_format_mean_source_tail_step,train_kl,train_kl_source_tail_step,train_loss,train_loss_source_tail_step,train_grpo_frac_reward_zero_std,train_grpo_frac_reward_zero_std_source_tail_step,train_rollout_extracted_none_rate,train_rollout_extracted_none_rate_source_tail_step,train_rollout_answer_single_number_rate,train_rollout_answer_single_number_rate_source_tail_step
0,512,0.75,0,0.75,0,0.9750000238418579,0,0.7749999761581421,0,0.20000000298023224,0,0.14330074191093445,1,0.0059159728698432446,1,0.0,0,0.0,0,1.0,0
32,544,0.875,32,0.875,32,1.087499976158142,32,0.887499988079071,32,0.20000000298023224,32,0.04392601177096367,32,0.0018080800073221326,32,0.0,32,0.0,32,1.0,32
64,576,0.5,64,0.625,64,0.768750011920929,64,0.5687500238418579,64,0.20000000298023224,64,0.08285872638225555,64,0.0033032165374606848,64,0.0,64,0.0,64,1.0,64
96,608,0.375,96,0.375,96,0.512499988079071,96,0.4375,96,0.07500000298023224,96,0.016707539558410645,96,0.000679945049341768,96,0.0,96,0.625,96,0.375,96
128,640,1.0,128,1.0,128,1.2000000476837158,128,1.0,128,0.20000000298023224,128,0.09974199533462524,128,0.004029370378702879,128,1.0,128,0.0,128,1.0,128
160,672,1.0,160,1.0,160,1.2000000476837158,160,1.0,160,0.20000000298023224,160,0.05519244819879532,160,0.0023335260339081287,160,1.0,160,0.0,160,1.0,160
192,704,0.375,192,0.375,192,0.5625,192,0.4375,192,0.125,192,0.07104550302028656,192,0.0028550811111927032,192,0.0,192,0.375,192,0.625,192
224,736,1.0,224,1.0,224,1.2000000476837158,224,1.0,224,0.20000000298023224,224,0.08347240835428238,224,0.0033948435448110104,224,1.0,224,0.0,224,1.0,224
256,768,0.375,256,0.375,256,0.637499988079071,256,0.4375,256,0.20000000298023224,256,0.022668195888400078,256,0.0009168541291728616,256,0.0,256,0.0,256,1.0,256
288,800,0.0,288,0.0,288,0.17499999701976776,288,0.10000000149011612,288,0.07500000298023224,288,0.0517263226211071,288,0.002595130354166031,288,0.0,288,0.625,288,0.375,288
320,832,0.75,320,0.75,320,0.9750000238418579,320,0.7749999761581421,320,0.20000000298023224,320,0.03893670439720154,320,0.0018543549813330173,320,0.0,320,0.0,320,1.0,320
329,841,0.75,328,0.75,328,0.9750000238418579,328,0.7749999761581421,328,0.20000000298023224,328,0.07188522815704346,329,0.002943941857665777,329,0.0,328,0.0,328,1.0,328
